state_ID,State_,Tot_Pop,Year,Pop_Dist_White,Pop_Dist_Black,Pop_Dist_Hispanic,Pop_Dist_Asian,Pop_Dist_Am_In,Pop_Dist_Nat_Haw_Pac_Isl,Pop_Dist_Mult_race,Povbr_White,Povbr_Black,Povbr_Hispanic,Povbr_As_PI,Povbr_Am_Na,Povbr_Multiple_Races,Mean_Unempl,Tot_GSP_Mil,snap_tot_ben_Mil,SNAP_no_rep,Pov_Ad_Ch,Pov_Ad_No,Pov_Ad_Tot,Ad_Poor_MH_zero,Ad_Poor_MH_four,Ad_Poor_MH_thirteen,Ad_Poor_MH_fourteen,Cov_Vacc_one
40,Rhode Island,1099498,2022,68,5,18,3,0,0,6,7,12,23,0,0,11,18151,71402.2,424913309,139361.58,9,11,10,62,15,11,12,201504979
41,South Carolina,5287935,2022,63,25,6,2,0,0,4,10,24,19,10,31,17,76658,295880.5,1719271318,618977.92,13,14,13,64,12,11,13,673370254
42,South Dakota,909723,2022,80,2,5,1,7,0,5,8,0,18,0,36,13,9494,67570.7,143211449,71012.25,8,12,11,66,15,8,11,130862824
43,Tennessee,7062217,2022,72,15,6,2,0,0,4,11,22,21,9,0,18,113728,475755.1,1800936365,825339.92,12,13,12,56,14,12,18,821851061
44,Texas,30113488,2022,39,12,41,5,0,0,4,8,20,19,9,14,12,578203,2355959.7,9882113180,3440725.75,13,12,12,59,14,12,15,4072879400
45,Utah,3391011,2022,76,1,15,3,1,1,4,7,17,12,10,21,9,41120,248176.3,426939679,156290.58,6,10,8,55,17,14,14,447012761
46,Vermont,648142,2022,90,1,2,2,0,0,5,9,0,17,0,0,17,7958,40617.1,205688345,69483.08,10,10,10,59,17,12,12,1414829907
47,Virginia,8683414,2022,59,18,10,7,0,0,5,8,18,14,7,16,11,122613,649392.6,2324190266,794646.08,9,11,10,59,14,12,14,113578479
48,Washington,7794123,2022,64,4,14,10,1,1,7,9,18,15,8,18,11,161966,725513.5,2527621418,874542.67,8,11,10,57,17,13,14,1192028191
49,West Virginia,1774122,2022,90,3,2,1,0,0,4,17,33,20,0,0,26,30244,95588.4,884685288,310878.75,17,18,18,57,12,12,20,811360049
50,Wisconsin,5903975,2022,79,6,8,3,1,0,4,9,27,18,11,24,12,89607,401791.5,2075620737,708237.67,9,11,10,60,14,12,13,225838724
51,Wyoming,581978,2022,82,1,11,1,2,0,4,11,37,12,0,27,11,10022,47432.5,67165451,30177.58,9,14,12,63,14,11,13,65647622
1,Alabama,5117673,2023,64,25,6,2,0,0,4,11,26,22,10,15,16,57113,306819.7,2048985036,776479.08,14,15,15,57,15,13,16,10146735
2,Alaska,736510,2023,57,2,7,6,14,1,11,8,0,9,0,21,11,15059,68712,246443959,54650.5,9,13,11,56,17,13,15,60461708
3,Arizona,7473027,2023,52,4,32,4,3,0,5,9,17,16,9,31,11,144329,521027.2,1882264854,898016.08,11,12,12,57,15,13,15,40065920
4,Arkansas,3069463,2023,67,14,9,2,0,0,7,13,28,14,12,16,18,44589,178237.9,509821832,249708.75,13,16,15,56,14,12,19,107651008
5,California,39198693,2023,33,5,41,16,0,0,5,9,20,14,10,17,12,914594,3944376.1,14387169754,5217210.83,11,11,11,58,15,12,15,636624948
6,Colorado,5901339,2023,65,4,23,3,0,0,5,7,16,14,11,20,8,101955,532489.5,1447682614,564020.08,7,10,9,52,18,15,16,91594209
7,Connecticut,3643023,2023,61,10,19,5,0,0,5,6,16,21,7,0,9,70299,347569.3,1042876765,392515.42,10,10,10,57,15,14,14,69509686
8,Delaware,1036423,2023,58,21,11,4,0,0,5,8,17,18,0,0,10,20118,95414.3,296207465,121174.33,9,11,10,60,14,11,14,15758155
9,Dist. of Columbia,687324,2023,37,41,12,4,0,0,6,4,26,5,10,0,9,19391,178134.9,379372333,138570.08,11,13,13,49,20,19,13,16321463
10,Florida,22904868,2023,50,14,28,3,0,0,5,9,18,15,10,15,12,318627,1622626.2,6756576747,3089910.75,11,11,11,62,13,10,15,336972249
11,Georgia,11064432,2023,49,30,11,5,0,0,5,9,19,18,11,17,15,170257,821989.4,3232508254,1543122.42,12,12,12,57,15,13,16,137917224
12,Hawaii,1441387,2023,20,1,10,37,0,9,24,12,0,13,10,0,10,19965,109850.3,842405853,157619.42,8,12,11,63,13,11,13,
